Time (EET),Open,High,Low,Close,Volume
2014.05.16 00:00:00,1.67888,1.68403,1.67831,1.68072,66893.87
2014.05.19 00:00:00,1.68147,1.68447,1.68052,1.68131,78255.93
2014.05.20 00:00:00,1.6813,1.68639,1.68021,1.6838,76435.37
2014.05.21 00:00:00,1.6838,1.69207,1.68316,1.68988,97406.16
2014.05.22 00:00:00,1.68988,1.69173,1.68514,1.68701,82586.91
2014.05.23 00:00:00,1.68679,1.6875,1.68128,1.68299,76465.24
2014.05.26 00:00:00,1.68308,1.68528,1.68185,1.6841,45976.78
2014.05.27 00:00:00,1.68411,1.6882,1.67825,1.68089,89514.98
2014.05.28 00:00:00,1.68088,1.68154,1.66976,1.671,89532.01
2014.05.29 00:00:00,1.67105,1.67406,1.66928,1.67162,83096.22
2014.05.30 00:00:00,1.67162,1.67773,1.67139,1.67526,84738.37
2014.06.02 00:00:00,1.67634,1.67676,1.67241,1.67455,84911.74
2014.06.03 00:00:00,1.67455,1.6782,1.67305,1.67483,84763.25
2014.06.04 00:00:00,1.67487,1.67686,1.66986,1.67362,93736.66
2014.06.05 00:00:00,1.67364,1.68248,1.67225,1.6819,121708.72
2014.06.06 00:00:00,1.68188,1.68451,1.67807,1.67987,101422.9
2014.06.09 00:00:00,1.68041,1.6832,1.67837,1.68027,81487.81
2014.06.10 00:00:00,1.68026,1.68172,1.67425,1.67558,98768.69
2014.06.11 00:00:00,1.67558,1.68108,1.67379,1.67868,99259.21
2014.06.12 00:00:00,1.67876,1.69302,1.67855,1.69278,115827.19
2014.06.13 00:00:00,1.69278,1.69919,1.69215,1.69632,133055.63
2014.06.16 00:00:00,1.69717,1.70105,1.69592,1.69825,97123.62
2014.06.17 00:00:00,1.69827,1.69891,1.69375,1.69638,97026.57
2014.06.18 00:00:00,1.69638,1.70018,1.69204,1.69931,109326.92
2014.06.19 00:00:00,1.69931,1.70625,1.69744,1.70382,105008
2014.06.20 00:00:00,1.70384,1.70603,1.70029,1.70113,83550.36
2014.06.23 00:00:00,1.70106,1.70493,1.70018,1.70262,88275.33
2014.06.24 00:00:00,1.70268,1.70317,1.69655,1.69848,84226.42
2014.06.25 00:00:00,1.69846,1.70043,1.69522,1.69828,89362.89
2014.06.26 00:00:00,1.69824,1.70397,1.6971,1.70254,90631.89
2014.06.27 00:00:00,1.70254,1.70509,1.70067,1.70325,71899.15
2014.06.30 00:00:00,1.70262,1.71149,1.70084,1.7105,90187.68
2014.07.01 00:00:00,1.71047,1.71657,1.70959,1.71486,92206.3
2014.07.02 00:00:00,1.71486,1.71769,1.71401,1.71646,92521.21
2014.07.03 00:00:00,1.71646,1.71667,1.70989,1.71538,99538.18
2014.07.04 00:00:00,1.71538,1.71791,1.71311,1.71577,69002.29
2014.07.07 00:00:00,1.71675,1.71678,1.71081,1.71275,79984.54
2014.07.08 00:00:00,1.71275,1.71475,1.70851,1.71302,81673.52
2014.07.09 00:00:00,1.71302,1.71609,1.70942,1.71566,96590.58
2014.07.10 00:00:00,1.7156,1.71675,1.71047,1.7131,96852.1
2014.07.11 00:00:00,1.7131,1.71505,1.70936,1.70996,86366.67
2014.07.14 00:00:00,1.71205,1.71437,1.70697,1.70832,84485.82
2014.07.15 00:00:00,1.70833,1.7191,1.70592,1.71426,107894.82
2014.07.16 00:00:00,1.71421,1.71508,1.71124,1.71361,85811.23
2014.07.17 00:00:00,1.71358,1.71437,1.70853,1.70997,93690.32
2014.07.18 00:00:00,1.70997,1.71173,1.70361,1.70842,102796.47
2014.07.21 00:00:00,1.70858,1.70992,1.70556,1.70746,99678.53
2014.07.22 00:00:00,1.70749,1.70829,1.70413,1.7063,102839.34
2014.07.23 00:00:00,1.70629,1.70952,1.7024,1.7043,107009.24
2014.07.24 00:00:00,1.70429,1.70533,1.69662,1.69855,112261.64
2014.07.25 00:00:00,1.69859,1.6998,1.6961,1.69738,101909.51
2014.07.28 00:00:00,1.69778,1.70006,1.69724,1.69822,100409.59
2014.07.29 00:00:00,1.69819,1.69946,1.69333,1.69427,117516.25
2014.07.30 00:00:00,1.69427,1.69548,1.68893,1.69122,127323.92
2014.07.31 00:00:00,1.6912,1.69263,1.68569,1.68842,135511.78
2014.08.01 00:00:00,1.68842,1.68926,1.6814,1.68225,158212.07
2014.08.04 00:00:00,1.68319,1.68629,1.68136,1.68619,89922.4
2014.08.05 00:00:00,1.68619,1.68882,1.68449,1.6885,99735.14
2014.08.06 00:00:00,1.68852,1.68871,1.68213,1.68525,104703.04
2014.08.07 00:00:00,1.68525,1.68637,1.68231,1.68317,119758.8
2014.08.08 00:00:00,1.68315,1.68333,1.67664,1.6773,126571.66
2014.08.11 00:00:00,1.67774,1.67958,1.67702,1.67861,81273.63
2014.08.12 00:00:00,1.67862,1.68154,1.67569,1.68109,96008.17
2014.08.13 00:00:00,1.68111,1.68434,1.66851,1.6688,127771.52
2014.08.14 00:00:00,1.6688,1.66968,1.66572,1.66852,90702.68
2014.08.15 00:00:00,1.66851,1.67015,1.66764,1.66888,94850.55
2014.08.18 00:00:00,1.6732,1.67373,1.67122,1.67269,76459.01
2014.08.19 00:00:00,1.67268,1.67277,1.66109,1.66163,96935.94
2014.08.20 00:00:00,1.66163,1.66786,1.65896,1.65947,100600.43
